account,uid_city,result,city,currency,chart_of_account,country_iso,date,identifier
301,308,64217.3,Le Bémont,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1258,1280372.4,Les Bois,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1524,1442294.1,Les Breuleux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,87,65818.1,La Chaux-B.,CHF,MCH2,CH,31.12.2022,to_be_defined
301,156,50586.75,Les Enfers,CHF,MCH2,CH,31.12.2022,to_be_defined
301,510,308249.5,Les Genevez,CHF,MCH2,CH,31.12.2022,to_be_defined
301,705,428392.52,Lajoux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,551,322147.91,Montfaucon,CHF,MCH2,CH,31.12.2022,to_be_defined
301,511,309477.2,Muriaux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1902,785489,Le Noirmont,CHF,MCH2,CH,31.12.2022,to_be_defined
301,2575,1496815.2,Saignelégier,CHF,MCH2,CH,31.12.2022,to_be_defined
301,228,76046,Saint-Brais,CHF,MCH2,CH,31.12.2022,to_be_defined
301,118,43583.6,Soubey,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1882,580804.4,Alle,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1114,504807.55,La Baroche,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1217,367678.45,Basse-Allaine,CHF,MCH2,CH,31.12.2022,to_be_defined
301,117,40113.65,Beurnevésin,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1205,1095629.85,Boncourt,CHF,MCH2,CH,31.12.2022,to_be_defined
301,625,681378.1,Bonfol,CHF,MCH2,CH,31.12.2022,to_be_defined
301,631,147476.7,Bure,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1275,982174.14,Clos du Doubs,CHF,MCH2,CH,31.12.2022,to_be_defined
301,718,302037.9,Coeuve,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1018,403642.15,Cornol,CHF,MCH2,CH,31.12.2022,to_be_defined
301,293,76639.95,Courchavon,CHF,MCH2,CH,31.12.2022,to_be_defined
301,2435,752461.05,Courgenay,CHF,MCH2,CH,31.12.2022,to_be_defined
301,786,350307.93,Courtedoux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,184,55694.21,Damphreux,CHF,MCH2,CH,31.12.2022,to_be_defined
301,333,117566.4,Fahy,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1674,660255.55,Fontenais,CHF,MCH2,CH,31.12.2022,to_be_defined
301,391,92898,Grandfontaine,CHF,MCH2,CH,31.12.2022,to_be_defined
301,1052,1033197.9,Haute-Ajoie,CHF,MCH2,CH,31.12.2022,to_be_defined
301,186,50978.05,Lugnez,CHF,MCH2,CH,31.12.2022,to_be_defined
301,6441,8973296.14,Porrentruy,CHF,MCH2,CH,31.12.2022,to_be_defined
301,546,244328.5,Vendlincourt,CHF,MCH2,CH,31.12.2022,to_be_defined
301,73865,56407773.660000004,Total,CHF,MCH2,CH,31.12.2022,to_be_defined
301,39309,32220917.509999998,Delémont,CHF,MCH2,CH,31.12.2022,to_be_defined
301,10433,6673489.58,Franches-Montagnes,CHF,MCH2,CH,31.12.2022,to_be_defined
