account,city_name,result,identifier,population,currency,chart_of_account,country_iso,date
301,Fahy,117566.4,266789,333,CHF,MCH2,CH,31.12.2022
301,Fontenais,660255.55,266790,1674,CHF,MCH2,CH,31.12.2022
301,Grandfontaine,92898,266792,391,CHF,MCH2,CH,31.12.2022
301,Haute-Ajoie,1033197.9,266809,1052,CHF,MCH2,CH,31.12.2022
301,Porrentruy,8973296.14,266800,24123,CHF,MCH2,CH,31.12.2022
301,Vendlincourt,244328.5,266806,546,CHF,MCH2,CH,31.12.2022
301,Delémont,32220917.509999998,266711,39309,CHF,MCH2,CH,31.12.2022
301,Porrentruy,17513366.57,266800,24123,CHF,MCH2,CH,31.12.2022
302,Boécourt,0,266702,951,CHF,MCH2,CH,31.12.2022
302,Bourrignon,0,266703,258,CHF,MCH2,CH,31.12.2022
302,Courchapoix,0,266706,441,CHF,MCH2,CH,31.12.2022
302,Courrendlin,0,266708,3686,CHF,MCH2,CH,31.12.2022
302,Courroux,0,266709,3313,CHF,MCH2,CH,31.12.2022
302,Courtételle,0,266710,2654,CHF,MCH2,CH,31.12.2022
302,Delémont,0,266711,39309,CHF,MCH2,CH,31.12.2022
302,Develier,0,266712,1360,CHF,MCH2,CH,31.12.2022
302,Ederswiler,0,266713,112,CHF,MCH2,CH,31.12.2022
302,Haute-Sorne,0,266729,7319,CHF,MCH2,CH,31.12.2022
302,Mervelier,0,266715,522,CHF,MCH2,CH,31.12.2022
302,Mettembert,0,266716,106,CHF,MCH2,CH,31.12.2022
302,Movelier,0,266718,425,CHF,MCH2,CH,31.12.2022
302,Pleigne,0,266719,350,CHF,MCH2,CH,31.12.2022
302,Rossemaison,0,266721,733,CHF,MCH2,CH,31.12.2022
302,Saulcy,0,266722,270,CHF,MCH2,CH,31.12.2022
302,Soyhières,0,266724,417,CHF,MCH2,CH,31.12.2022
302,Val Terbi,0,266730,3285,CHF,MCH2,CH,31.12.2022
302,Les Bois,0,266742,1258,CHF,MCH2,CH,31.12.2022
302,Les Breuleux,0,266743,1524,CHF,MCH2,CH,31.12.2022
302,Les Enfers,0,266745,156,CHF,MCH2,CH,31.12.2022
302,Montfaucon,0,266751,551,CHF,MCH2,CH,31.12.2022
302,Muriaux,0,266753,511,CHF,MCH2,CH,31.12.2022
302,Le Noirmont,4625,266754,1902,CHF,MCH2,CH,31.12.2022
302,Saignelégier,0,266757,2575,CHF,MCH2,CH,31.12.2022
